Date,Average,Adj Close,Volume
2012-08-01,10.35,5.133729,600
2012-08-02,10.37,5.143649,600
2012-08-03,10.3,5.108928,300
2012-08-07,10.3,5.108928,0
2012-08-08,10.42,5.168449,1200
2012-08-09,10.45,5.183329,100
2012-08-10,10.21,5.064287,300
2012-08-13,10.21,5.064287,0
2012-08-14,10.35,5.133729,1100
2012-08-15,10.35,5.133729,95200
2012-08-16,10.15,5.034525,6200
2012-08-17,10.35,5.133729,5400
2012-08-20,10.4,5.158528,4500
2012-08-21,10.5,5.20813,14200
2012-08-22,10.6,5.257732,73600
2012-08-23,10.62,5.267652,1200
2012-08-24,10.75,5.332133,9800
2012-08-27,10.75,5.332133,0
2012-08-28,10.75,5.332133,0
2012-08-29,10.55,5.232931,2700
2012-08-30,10.5,5.20813,800
2012-08-31,10.21,5.064287,1500
2012-09-04,10.15,5.034525,5400
2012-09-05,10.19,5.054366,300
2012-09-06,10.25,5.084127,1100
2012-09-07,10.47,5.19325,3700
2012-09-10,10.45,5.183329,1700
2012-09-11,10.51,5.21309,400
2012-09-12,10.72,5.317253,8400
2012-09-13,10.72,5.317253,1000
2012-09-14,10.9,5.406535,7900
2012-09-17,10.94,5.426375,6800
2012-09-18,10.52,5.218051,4200
2012-09-19,11,5.456136,14100
2012-09-20,10.69,5.302372,10200
2012-09-21,10.74,5.327173,31100
2012-09-24,10.92,5.416455,12000
2012-09-25,11.01,5.461096,7600
2012-09-26,10.84,5.376774,5700
2012-09-27,10.84,5.376774,11000
2012-09-28,11,5.456136,1400
2012-10-01,11.05,5.480937,32000
2012-10-02,11,5.456136,169000
2012-10-03,11.2,5.555338,12100
2012-10-04,11.2,5.555338,7900
2012-10-05,11.1,5.505738,2500
2012-10-09,11.01,5.461096,20700
2012-10-10,11.79,5.847986,3800
2012-10-11,11.1,5.505738,500
2012-10-12,11.53,5.719023,2000
2012-10-15,11,5.456136,9600
2012-10-16,11.01,5.461096,8600
2012-10-17,11.01,5.461096,0
2012-10-18,11.1,5.505738,400
2012-10-19,11.09,5.500777,300
2012-10-22,11.15,5.530538,300
2012-10-23,10.9,5.406535,396700
2012-10-24,11.01,5.461096,287000
2012-10-25,10.95,5.431335,20800
2012-10-26,10.69,5.302372,127100
2012-10-29,10.7,5.307333,59200
2012-10-30,10.7,5.307333,3000
2012-10-31,11.59,5.748784,441900
2012-11-01,11,5.456136,367100
2012-11-02,11.35,5.629741,208400
2012-11-05,12.11,6.00671,374400
2012-11-06,12.55,6.224955,62000
2012-11-07,12.86,6.378719,82700
2012-11-08,12.98,6.438241,98700
2012-11-09,12.5,6.200155,46900
2012-11-12,12.47,6.185274,75300
2012-11-13,11.76,5.833106,735900
2012-11-14,11.6,5.753744,1007100
2012-11-15,11.41,5.659501,478800
2012-11-16,11,5.456136,362300
2012-11-19,10.7,5.307333,197100
2012-11-20,10.8,5.356934,170800
2012-11-21,11.19,5.550378,52500
2012-11-22,10.89,5.401575,5700
2012-11-23,10.85,5.381734,85100
2012-11-26,10.7,5.307333,118500
2012-11-27,11.25,5.580139,47500
2012-11-28,11.25,5.580139,158000
2012-11-29,11.33,5.61982,149000
2012-11-30,11.15,5.530538,211400
2012-12-03,10.6,5.257732,75600
2012-12-04,10.58,5.247811,73200
2012-12-05,10.65,5.282532,100000
2012-12-06,10.73,5.322213,77300
2012-12-07,10.97,5.441256,27200
2012-12-10,11.04,5.475976,68900
2012-12-11,10.9,5.406535,41200
2012-12-12,11.31,5.6099,293200
2012-12-13,11.88,5.892627,496500
2012-12-14,11.65,5.778544,31800
2012-12-17,11.62,5.763664,35200
2012-12-18,11.67,5.788465,41600
2012-12-19,11.8,5.852946,269300
2012-12-20,10.74,5.82043,48200
2012-12-21,10.66,5.777075,29600
2012-12-24,10.83,5.869204,7200
2012-12-27,10.1,5.473589,68900
2012-12-28,10.11,5.479008,34700
2012-12-31,10.05,5.446492,53000
2013-01-02,10.12,5.484427,28900
2013-01-03,9.95,5.392297,190700
2013-01-04,10,5.419395,15400
2013-01-07,10.01,5.424814,104200
2013-01-08,9.7,5.256813,68800
2013-01-09,9.6,5.202619,13200
2013-01-10,9.79,5.305587,30100
2013-01-11,9.64,5.224297,10600
2013-01-14,9.71,5.262232,73900
2013-01-15,9.75,5.28391,20700
2013-01-16,9.7,5.256813,6400
2013-01-17,9.7,5.256813,12500
2013-01-18,9.65,5.229715,9600
2013-01-21,9.62,5.213458,4900
2013-01-22,9.7,5.256813,20200
2013-01-23,9.65,5.229715,22500
