Date,Volume,Close,Average
31/07/2012,5400,3.506988,3.73
01/08/2012,36300,3.535195,3.78
02/08/2012,33400,3.450576,3.725
03/08/2012,24300,3.459978,3.705
07/08/2012,31900,3.610411,3.8
08/08/2012,9100,3.666824,3.87
09/08/2012,21000,3.610411,3.805
10/08/2012,33800,3.525792,3.76
13/08/2012,36100,3.478782,3.71
14/08/2012,21700,3.488184,3.73
15/08/2012,7200,3.544597,3.725
16/08/2012,8700,3.535195,3.78
17/08/2012,7800,3.516391,3.73
20/08/2012,19400,3.544597,3.76
21/08/2012,31800,3.525792,3.765
22/08/2012,14500,3.488184,3.73
23/08/2012,9800,3.450576,3.7
24/08/2012,34600,3.431772,3.67
27/08/2012,40600,3.394163,3.63
28/08/2012,4900,3.412967,3.635
29/08/2012,19100,3.403565,3.655
30/08/2012,16400,3.403565,3.645
31/08/2012,27200,3.403565,3.68
04/09/2012,50400,3.347152,3.6
05/09/2012,49000,3.281337,3.52
06/09/2012,22100,3.431772,3.595
07/09/2012,25700,3.46938,3.675
10/09/2012,39300,3.450576,3.67
11/09/2012,18900,3.488184,3.695
12/09/2012,34300,3.597042,3.77
13/09/2012,25700,3.682235,3.835
14/09/2012,24600,3.691701,3.925
17/09/2012,25900,3.634906,3.82
18/09/2012,19200,3.597042,3.82
19/09/2012,17400,3.559178,3.775
20/09/2012,49100,3.634906,3.78
21/09/2012,34500,3.606508,3.86
24/09/2012,28300,3.634906,3.835
25/09/2012,10300,3.57811,3.805
26/09/2012,25400,3.530781,3.725
27/09/2012,9500,3.615974,3.795
28/09/2012,6300,3.597042,3.785
01/10/2012,19500,3.653837,3.865
02/10/2012,19600,3.672769,3.885
03/10/2012,20300,3.682235,3.875
04/10/2012,66500,3.682235,3.87
05/10/2012,24700,3.691701,3.89
09/10/2012,42900,3.606508,3.835
10/10/2012,23200,3.549713,3.775
11/10/2012,38600,3.568645,3.77
12/10/2012,20400,3.57811,3.77
15/10/2012,34600,3.559178,3.775
16/10/2012,46100,3.62544,3.805
17/10/2012,51000,3.653837,3.835
18/10/2012,41700,3.644372,3.85
19/10/2012,20500,3.615974,3.845
22/10/2012,23900,3.606508,3.83
23/10/2012,21900,3.57811,3.775
24/10/2012,23000,3.606508,3.82
25/10/2012,28500,3.597042,3.83
26/10/2012,22200,3.597042,3.815
29/10/2012,36300,3.606508,3.795
30/10/2012,42500,3.663303,3.83
31/10/2012,18500,3.691701,3.89
01/11/2012,27900,3.634906,3.845
02/11/2012,22000,3.549713,3.8
05/11/2012,23000,3.473985,3.705
06/11/2012,63500,3.502383,3.705
07/11/2012,85800,3.369861,3.625
08/11/2012,30800,3.313065,3.565
09/11/2012,42300,3.322531,3.52
12/11/2012,45700,3.303599,3.665
13/11/2012,17900,3.246804,3.455
14/11/2012,72300,3.114281,3.38
15/11/2012,119800,2.953361,3.19
16/11/2012,95600,3.038554,3.145
19/11/2012,19800,3.057486,3.285
20/11/2012,17700,3.000691,3.225
21/11/2012,13900,2.991225,3.175
22/11/2012,57900,2.981759,3.15
23/11/2012,28400,3.019622,3.185
26/11/2012,6700,3.038554,3.185
27/11/2012,142100,3.294133,3.52
28/11/2012,87000,3.275201,3.48
29/11/2012,59200,3.313065,3.485
30/11/2012,26900,3.407724,3.55
03/12/2012,95200,3.294133,3.595
04/12/2012,25500,3.265736,3.47
05/12/2012,28500,3.246804,3.395
06/12/2012,52600,3.25627,3.48
07/12/2012,43100,3.303599,3.495
10/12/2012,102100,3.275201,3.465
11/12/2012,193800,3.322531,3.5
12/12/2012,187600,3.279629,3.495
13/12/2012,76400,3.317764,3.465
14/12/2012,38100,3.336832,3.48
17/12/2012,32200,3.394035,3.525
18/12/2012,46200,3.43217,3.555
19/12/2012,62500,3.460771,3.62
20/12/2012,74600,3.575177,3.71
21/12/2012,60600,3.58471,3.75
24/12/2012,20800,3.651447,3.795
27/12/2012,70900,3.651447,3.85
28/12/2012,95400,3.594244,3.78
31/12/2012,39800,3.651447,3.805
02/01/2013,83400,3.70865,3.92
03/01/2013,53100,3.737252,3.94
04/01/2013,32300,3.756319,3.935
07/01/2013,35200,3.78492,3.935
08/01/2013,14200,3.737252,3.955
09/01/2013,49500,3.794454,4
10/01/2013,60900,3.889793,4.035
11/01/2013,25300,3.861191,4.055
14/01/2013,43700,3.956529,4.12
15/01/2013,40700,3.899327,4.13
16/01/2013,34200,3.880259,4.08
17/01/2013,23500,3.98513,4.125
18/01/2013,22900,4.004198,4.17
21/01/2013,57400,4.051867,4.195
22/01/2013,26600,4.051867,4.235
23/01/2013,33500,3.98513,4.215
24/01/2013,30000,3.937461,4.15
25/01/2013,58400,3.870725,4.085
28/01/2013,27500,3.946995,4.09
29/01/2013,8000,3.908859,4.13
30/01/2013,27700,3.861191,4.08
31/01/2013,55600,3.813522,4
01/02/2013,12600,3.889793,4.03
04/02/2013,31400,3.823056,4
05/02/2013,29500,3.908859,4.05
06/02/2013,19700,3.918394,4.105
07/02/2013,35000,3.966063,4.13
08/02/2013,39800,3.937461,4.145
11/02/2013,8500,3.966063,4.13
12/02/2013,5100,3.937461,4.135
13/02/2013,13100,3.927928,4.13
14/02/2013,23400,3.899327,4.1
15/02/2013,17600,3.908859,4.085
19/02/2013,22200,3.937461,4.12
20/02/2013,101000,4.090002,4.215
21/02/2013,148400,3.70865,3.98
22/02/2013,48800,3.870725,3.99
25/02/2013,47500,3.823056,4.04
26/02/2013,36900,3.842123,4.02
27/02/2013,25800,3.927928,4.045
28/02/2013,48100,3.946995,4.135
01/03/2013,12300,3.937461,4.135
04/03/2013,44500,3.870725,4.1
05/03/2013,74600,3.794454,4.04
06/03/2013,51300,3.870725,4.03
07/03/2013,29800,3.851657,4.065
08/03/2013,87700,3.956529,4.125
11/03/2013,16000,3.908859,4.135
12/03/2013,40700,3.975596,4.15
13/03/2013,110600,4.095488,4.23
14/03/2013,110100,4.124261,4.3
15/03/2013,92600,4.18181,4.31
18/03/2013,71800,4.018756,4.235
19/03/2013,24500,4.047531,4.225
20/03/2013,47300,4.10508,4.255
21/03/2013,34000,4.018756,4.22
22/03/2013,77000,3.980393,4.165
25/03/2013,85900,3.826931,4.045
26/03/2013,32400,3.846114,3.98
27/03/2013,16500,3.932436,4.04
28/03/2013,6000,3.913253,4.065
01/04/2013,19400,3.865297,4.025
02/04/2013,19500,3.836523,4.025
03/04/2013,38500,3.807749,3.98
04/04/2013,46700,3.81734,3.97
05/04/2013,24100,3.788566,3.93
08/04/2013,19200,3.903662,4.01
09/04/2013,95400,3.942027,4.1
10/04/2013,27000,3.96121,4.13
11/04/2013,42700,3.88448,4.085
12/04/2013,17700,3.865297,4.02
15/04/2013,54900,3.788566,3.975
16/04/2013,14300,3.798157,3.965
17/04/2013,51400,3.702245,3.89
18/04/2013,23500,3.750201,3.92
19/04/2013,14200,3.731019,3.905
22/04/2013,12800,3.721427,3.88
23/04/2013,8200,3.74061,3.895
24/04/2013,7200,3.778975,3.925
25/04/2013,23100,3.81734,3.96
26/04/2013,24300,3.807749,3.955
29/04/2013,9500,3.81734,3.98
30/04/2013,6600,3.81734,3.965
01/05/2013,13100,3.846114,4
02/05/2013,13500,3.88448,4.04
03/05/2013,28100,3.922845,4.07
06/05/2013,111700,4.028349,4.16
07/05/2013,75500,4.066714,4.22
08/05/2013,15700,4.076305,4.24
09/05/2013,228700,4.316089,4.395
10/05/2013,149700,4.517506,4.59
13/05/2013,121000,4.412002,4.69
14/05/2013,52700,4.392818,4.59
15/05/2013,63300,4.392818,4.55
16/05/2013,68000,4.431184,4.58
17/05/2013,58900,4.517506,4.69
21/05/2013,163900,4.364045,4.65
22/05/2013,34700,4.431184,4.59
23/05/2013,18500,4.459958,4.59
24/05/2013,19400,4.459958,4.635
27/05/2013,20300,4.459958,4.645
28/05/2013,38700,4.555871,4.705
29/05/2013,50300,4.651784,4.755
30/05/2013,32000,4.584644,4.83
31/05/2013,47300,4.536688,4.745
03/06/2013,25000,4.536688,4.755
04/06/2013,65000,4.642192,4.795
05/06/2013,69200,4.661376,4.915
06/06/2013,21200,4.738105,4.92
07/06/2013,49000,4.738105,4.915
10/06/2013,42700,4.62301,4.88
11/06/2013,42800,4.594236,4.76
12/06/2013,62200,4.512282,4.72
13/06/2013,15700,4.599057,4.71
14/06/2013,59700,4.531565,4.745
17/06/2013,21000,4.521924,4.73
18/06/2013,68100,4.435149,4.665
19/06/2013,31400,4.492999,4.665
20/06/2013,35800,4.396583,4.545
21/06/2013,67200,4.300167,4.5
24/06/2013,33800,4.290525,4.43
25/06/2013,28300,4.502641,4.565
26/06/2013,44900,4.415865,4.54
