Date,Open,High,Low,Close,Adj Close,Volume
2012-08-01,7.18,7.39,7.13,7.16,7.16,2659900
2012-08-02,7.16,7.18,6.87,7,7,1360100
2012-08-03,7.1,7.23,6.91,6.98,6.98,1431000
2012-08-07,7.18,7.35,7.15,7.32,7.32,1818500
2012-08-08,7.36,8.22,7.36,7.56,7.56,4713700
2012-08-09,7.61,7.95,7.44,7.72,7.72,2895300
2012-08-10,8.18,8.43,7.96,8.22,8.22,4412600
2012-08-13,8.3,8.32,8,8.02,8.02,2151600
2012-08-14,8,8.02,7.46,7.48,7.48,2181100
2012-08-15,7.54,7.65,7.25,7.43,7.43,2054000
2012-08-16,7.45,7.6,7.35,7.44,7.44,1839800
2012-08-17,7.46,7.51,7.35,7.39,7.39,1137400
2012-08-20,7.4,7.45,7.21,7.26,7.26,2087600
2012-08-21,7.25,7.42,7.04,7.08,7.08,2239600
2012-08-22,7.12,7.16,6.93,7.01,7.01,1970800
2012-08-23,7.04,7.08,6.9,7.03,7.03,1412500
2012-08-24,6.95,6.99,6.87,6.88,6.88,967100
2012-08-27,7.22,7.23,6.98,7.01,7.01,2444400
2012-08-28,7.03,7.05,6.92,6.94,6.94,1149500
2012-08-29,6.94,6.95,6.81,6.83,6.83,1383100
2012-08-30,6.83,6.83,6.67,6.67,6.67,2065200
2012-08-31,6.73,6.73,6.52,6.57,6.57,1759200
2012-09-04,6.58,6.59,6.49,6.54,6.54,871900
2012-09-05,6.54,6.69,6.45,6.47,6.47,1147000
2012-09-06,6.5,6.68,6.24,6.61,6.61,2513800
2012-09-07,6.59,7.06,6.53,7.02,7.02,2370700
2012-09-10,6.98,7.07,6.85,6.99,6.99,1302400
2012-09-11,7,7.34,6.94,7.27,7.27,1890800
2012-09-12,7.39,7.42,7.07,7.26,7.26,1598400
2012-09-13,7.23,7.38,7.15,7.19,7.19,2109900
2012-09-14,7.21,7.6,7.2,7.34,7.34,2303900
2012-09-17,7.21,7.22,7.01,7.07,7.07,1757100
2012-09-18,7,7.6,6.98,7.24,7.24,3899200
2012-09-19,7.32,7.32,7,7.03,7.03,1766000
2012-09-20,7,7.07,6.73,6.75,6.75,2156400
2012-09-21,6.6,6.65,6.25,6.25,6.25,12994600
2012-09-24,6.25,6.31,6.1,6.18,6.18,2239700
2012-09-25,6.25,6.57,6.12,6.5,6.5,5080000
2012-09-26,6.7,6.98,6.52,6.88,6.88,4242500
2012-09-27,7.1,7.12,6.61,6.96,6.96,4588000
2012-09-28,8.05,8.05,7.34,7.52,7.52,10351600
2012-10-01,7.5,7.74,7.15,7.69,7.69,5054700
2012-10-02,7.75,8.3,7.71,8.15,8.15,6410300
2012-10-03,8.24,8.24,7.9,7.97,7.97,3316400
2012-10-04,8,8.12,7.92,8.07,8.07,2376300
2012-10-05,8.15,8.24,7.99,8.06,8.06,1994900
2012-10-09,7.9,7.9,7.61,7.62,7.62,3154000
2012-10-10,7.58,7.69,7.43,7.61,7.61,1679500
2012-10-11,7.7,7.81,7.6,7.73,7.73,1380900
2012-10-12,7.73,7.85,7.58,7.65,7.65,1143300
2012-10-15,7.7,7.72,7.56,7.65,7.65,748700
2012-10-16,7.71,7.76,7.62,7.72,7.72,1989300
2012-10-17,7.7,7.91,7.66,7.8,7.8,1547200
2012-10-18,7.81,7.89,7.72,7.76,7.76,1583000
2012-10-19,7.81,7.81,7.6,7.69,7.69,2077500
2012-10-22,7.75,7.79,7.53,7.65,7.65,1088800
2012-10-23,7.5,7.84,7.4,7.59,7.59,1941700
2012-10-24,7.59,7.61,7.47,7.48,7.48,799000
2012-10-25,7.6,7.72,7.48,7.66,7.66,1116000
2012-10-26,7.67,7.74,7.5,7.53,7.53,1474700
2012-10-29,7.67,7.67,7.53,7.6,7.6,399200
2012-10-30,7.62,7.7,7.54,7.6,7.6,415800
2012-10-31,7.61,7.99,7.57,7.88,7.88,2495900
2012-11-01,8.08,8.83,8.03,8.68,8.68,6729600
2012-11-02,8.8,8.86,8.66,8.72,8.72,4879500
2012-11-05,8.84,9.14,8.73,8.87,8.87,3584500
2012-11-06,9,9,8.82,8.97,8.97,1952300
2012-11-07,9.11,9.11,8.21,8.23,8.23,3209600
2012-11-08,8.45,8.48,8.15,8.21,8.21,2074400
2012-11-09,8.21,8.71,8.21,8.56,8.56,2812600
2012-11-12,9.06,9.07,8.68,8.81,8.81,2672700
2012-11-13,8.82,8.85,8.33,8.4,8.4,2543800
2012-11-14,8.52,8.68,8.4,8.51,8.51,2101600
2012-11-15,8.5,8.85,8.5,8.8,8.8,2304300
2012-11-16,8.88,9.3,8.57,9.23,9.23,3143000
2012-11-19,9.15,9.77,9.01,9.59,9.59,4884000
2012-11-20,10.01,10.02,9.56,9.7,9.7,6772600
2012-11-21,9.64,10.31,9.6,10.23,10.23,6426600
2012-11-22,10.45,12.09,10.41,12,12,12581500
2012-11-23,11.61,11.78,11.22,11.61,11.61,9171800
2012-11-26,11.94,12.08,11.38,11.9,11.9,9806200
2012-11-27,11.9,11.9,10.65,10.7,10.7,10359800
2012-11-28,10.2,11.19,10.15,11,11,8378900
2012-11-29,12.18,12.2,11.3,11.48,11.48,8725100
2012-11-30,11.56,11.75,11.31,11.59,11.59,5412700
2012-12-03,11.3,11.74,11.18,11.55,11.55,5566600
2012-12-04,11.47,11.64,11.37,11.5,11.5,3530200
2012-12-05,11.51,12.01,11.4,11.84,11.84,5594400
2012-12-06,11.91,12.07,11.53,11.81,11.81,4577600
2012-12-07,11.69,11.99,11.62,11.88,11.88,4162200
2012-12-10,11.87,11.97,11.55,11.74,11.74,3951000
2012-12-11,11.8,12.49,11.72,12.42,12.42,7209100
2012-12-12,12.5,13.14,12.19,13.14,13.14,9454300
2012-12-13,13.25,13.94,13.23,13.63,13.63,11168700
2012-12-14,13.7,14,13.34,13.88,13.88,8579200
2012-12-17,13.99,13.99,13.46,13.66,13.66,6277500
2012-12-18,13.52,13.67,13.07,13.47,13.47,5467600
2012-12-19,13.39,13.71,13.35,13.49,13.49,4609600
2012-12-20,13.49,13.95,13.37,13.95,13.95,5930800
2012-12-21,11.9,12.29,10.82,10.86,10.86,16351000
2012-12-24,10.68,10.9,10.5,10.5,10.5,3755000
2012-12-27,11.95,12.06,11.44,11.7,11.7,6918000
2012-12-28,11.63,12.06,11.51,11.75,11.75,3665100
2012-12-31,11.84,11.88,11.63,11.8,11.8,2804000
2013-01-02,12.15,12.18,11.5,11.57,11.57,3299300
2013-01-03,11.66,11.67,11.27,11.35,11.35,2838800
2013-01-04,11.5,11.85,11.28,11.85,11.85,3042700
2013-01-07,11.86,11.98,11.56,11.76,11.76,2312000
2013-01-08,11.88,12.07,11.6,11.78,11.78,4386000
2013-01-09,11.78,11.86,11.32,11.4,11.4,2964900
2013-01-10,11.61,11.79,11.46,11.79,11.79,3914400
2013-01-11,11.5,13.38,11.48,13.31,13.31,12438800
2013-01-14,13.74,14.85,13.7,14.7,14.7,14979300
2013-01-15,14.7,14.85,14.02,14.27,14.27,7010000
2013-01-16,14.5,15.15,14.46,14.55,14.55,9855100
2013-01-17,14.69,14.7,14.26,14.68,14.68,4642000
2013-01-18,15.7,15.83,15.23,15.71,15.71,9810300
2013-01-21,16.6,18.49,16.52,17.41,17.41,13385200
2013-01-22,17,17.77,16.799999,17.74,17.74,12524600
2013-01-23,17.76,17.950001,17.15,17.299999,17.299999,9804300
2013-01-24,16.6,18.370001,16.370001,17.799999,17.799999,17211200
2013-01-25,18.25,18.379999,17.530001,17.610001,17.610001,8387600
2013-01-28,18,18.059999,16.139999,16.27,16.27,11850900
2013-01-29,16,16.01,14.76,15.71,15.71,12424000
2013-01-30,16.15,16.690001,13.75,13.86,13.86,22762200
2013-01-31,12.4,13.32,12.17,12.92,12.92,13129400
2013-02-01,13.5,13.55,12.86,13.01,13.01,6759900
2013-02-04,13.7,14.99,13.48,14.99,14.99,10890300
2013-02-05,15.85,16.85,15.52,15.94,15.94,18082200
2013-02-06,15.5,16.469999,15.25,15.98,15.98,12995300
2013-02-07,16.6,16.940001,16.17,16.91,16.91,9716000
2013-02-08,17.200001,17.25,16.48,16.51,16.51,7984500
2013-02-11,15.86,16.290001,15.41,15.76,15.76,6604800
2013-02-12,15.5,16.15,15.19,15.25,15.25,5384600
2013-02-13,15.11,15.44,13.84,14,14,9136500
2013-02-14,13.24,15.17,12.96,15.05,15.05,11571500
2013-02-15,15.35,15.6,14.06,14.23,14.23,7421500
2013-02-19,14.46,15,14.35,14.57,14.57,5925400
2013-02-20,14.2,14.61,13.9,13.95,13.95,5879100
2013-02-21,14.21,14.3,13.6,14.13,14.13,6628500
2013-02-22,14.16,14.31,13.31,13.48,13.48,4961400
2013-02-25,14,14.1,13.41,13.48,13.48,4020500
2013-02-26,13.67,13.8,12.92,13.46,13.46,5804000
2013-02-27,13.28,14,13.08,13.58,13.58,5040800
2013-02-28,13.5,14.2,13.3,13.98,13.98,5729100
2013-03-01,13.78,14.19,13.42,13.63,13.63,4171700
2013-03-04,13.59,13.65,13.12,13.14,13.14,2943800
2013-03-05,13.24,13.26,12.9,12.9,12.9,3851200
2013-03-06,13.05,13.97,12.92,13.85,13.85,5826300
2013-03-07,13.83,13.95,13.36,13.57,13.57,3636200
2013-03-08,13.83,13.85,13.41,13.43,13.43,2849600
2013-03-11,13.52,15.32,13.36,15.29,15.29,11377900
2013-03-12,15.6,15.8,14.42,14.83,14.83,9641900
2013-03-13,14.52,16.129999,14.47,16.040001,16.040001,10233300
2013-03-14,16.26,16.42,15.38,15.48,15.48,10416400
2013-03-15,15.46,15.58,15.09,15.4,15.4,5687500
2013-03-18,15.1,15.92,14.97,15.45,15.45,6071700
2013-03-19,15.5,15.7,15.27,15.42,15.42,3975500
2013-03-20,16.25,16.84,16.07,16.530001,16.530001,13157200
2013-03-21,16.4,16.879999,16.32,16.52,16.52,7181800
2013-03-22,16.84,17.219999,14.97,15.19,15.19,15276300
2013-03-25,14.2,14.92,13.9,14.51,14.51,10040100
2013-03-26,14.8,14.99,14.51,14.67,14.67,4836600
2013-03-27,14.8,15.16,14.53,14.8,14.8,6165500
2013-03-28,15.5,15.81,14.38,15.09,15.09,12342700
2013-04-01,14.95,15.61,14.53,15.35,15.35,7911600
2013-04-02,15.45,15.68,15.26,15.34,15.34,4719200
2013-04-03,15.19,15.44,14.81,15.21,15.21,6008100
2013-04-04,15.3,15.52,15.14,15.18,15.18,3541900
2013-04-05,15.05,15.25,14.88,14.92,14.92,3216100
2013-04-08,15.2,15.35,14.9,14.9,14.9,2724500
2013-04-09,14.97,15.15,14.85,15.1,15.1,3233800
2013-04-10,15.12,15.22,14.69,14.93,14.93,4537000
2013-04-11,14.36,14.36,13.43,13.82,13.82,8332000
2013-04-12,13.9,14.19,13.57,13.85,13.85,3487400
2013-04-15,13.66,14.15,13.66,14.01,14.01,2850100
2013-04-16,14.26,14.44,14.15,14.21,14.21,2465000
2013-04-17,14.21,14.58,14.1,14.29,14.29,3559600
2013-04-18,14.15,14.4,13.73,13.8,13.8,2469800
2013-04-19,13.88,14.28,13.43,14.19,14.19,3560700
2013-04-22,14.21,14.49,13.99,14.37,14.37,2348400
2013-04-23,14.45,14.92,14.33,14.74,14.74,3816000
2013-04-24,14.85,15.33,14.78,15.25,15.25,4428700
2013-04-25,15.41,15.71,14.92,15.15,15.15,4971100
2013-04-26,15.15,15.34,14.92,15.25,15.25,2606300
2013-04-29,15.6,15.85,15.51,15.78,15.78,4838900
2013-04-30,15.9,16.719999,15.9,16.5,16.5,7247200
2013-05-01,16.549999,16.629999,15.6,15.89,15.89,4821600
2013-05-02,15.76,16.190001,15.42,15.83,15.83,4019200
2013-05-03,16.24,16.25,15.73,15.77,15.77,4388200
2013-05-06,15.8,16.110001,15.59,15.74,15.74,2972700
2013-05-07,15.49,15.59,14.76,14.93,14.93,5066800
2013-05-08,15.15,15.23,14.85,14.9,14.9,2746000
2013-05-09,15.19,15.73,14.91,15.49,15.49,6102500
2013-05-10,15.6,15.87,15.5,15.71,15.71,3513300
2013-05-13,15.85,16.299999,15.85,16.040001,16.040001,4548800
2013-05-14,16.26,16.389999,15.17,15.55,15.55,7379400
2013-05-15,15.16,15.71,15.01,15.27,15.27,4303300
2013-05-16,15.35,15.4,14.83,15.02,15.02,3447600
2013-05-17,15.15,15.29,14.96,15.05,15.05,2728000
2013-05-21,15.45,15.47,15.1,15.16,15.16,2783000
2013-05-22,15.04,15.25,14.9,15.01,15.01,3641900
